,country,date_local,longitude,latitude,rh_average,blh_average,tp_average,e_average,skt_average,sp_average,t2m_average,tcwv_average,ws_average,ndvi_average,elevation,nl,clc,ghaod_average,value
76700,DE,2018-01-01,11.220172,47.968753,77.75225830078121,1235.70532226562,0.0,-6.21710714767687e-05,277.702026367188,93303.5,278.584686279297,6.94205904006958,4.10131025314331,0.25380000472068803,708.4828,211,3,0.0234719999134541,3.3375
76796,DE,2018-01-01,14.3764,51.5645,72.2270736694336,1393.1123046875,7.61999399401248e-06,-6.67939311824739e-05,280.960693359375,98999.8046875,282.160522460938,9.52934169769287,5.9577898979187,0.19319999217987102,97.65625,251,1,0.066710501909256,3.46666666666667
76890,DE,2018-01-01,14.525960000000001,52.33468,72.1399688720703,1383.5476074218802,1.48866556628491e-05,-8.696864097146321e-05,280.865631103516,99563.09375,282.040924072266,9.354172706604,6.20611715316772,0.19009999930858604,84.50818000000001,255,1,0.0140000004321337,1.55
76982,DE,2018-01-01,14.638166,52.146264,71.33619689941409,1381.82653808594,9.9911994766444e-06,-7.790848030708729e-05,281.070037841797,99517.59375,282.232055664062,9.417665481567381,6.1185603141784695,0.142999991774559,41.90307,255,1,0.0575940012931824,1.75
77072,DE,2018-01-01,13.094617999999999,52.388869,73.1846389770508,1530.7102050781198,1.72818545252085e-05,-7.712044316576791e-05,280.988433837891,99623.265625,281.758422851562,9.03680324554443,5.79526424407959,0.16519999504089403,32.13281,255,1,0.0391950011253357,2.7
77163,DE,2018-01-01,13.582269,52.677651000000004,72.9934921264648,1468.70617675781,2.2894462745171e-05,-9.020774450618771e-05,280.526275634766,99436.46875,281.498779296875,8.91516876220703,6.1649374961853,0.142199993133545,72.71384,255,1,0.0583579987287521,3.125
77260,DE,2018-01-01,12.561389,52.194225,72.3891143798828,1534.94921875,7.92221362644341e-06,-6.67681015329435e-05,281.19403076171903,99332.1171875,281.585540771484,9.04792785644531,5.770128726959231,0.361799985170364,127.7983,33,3,0.0310000032186508,1.3
77352,DE,2018-01-01,13.822211,52.832467,71.38722229003909,1431.482421875,1.79900944203837e-05,-8.69703289936297e-05,280.421722412109,99355.140625,281.41375732421903,8.87853527069092,6.3835759162902805,0.155799999833107,20.35855,255,1,0.0574340000748634,2.2
77443,DE,2018-01-01,14.33455,51.746344,71.3876571655273,1402.9931640625,8.55564212542959e-06,-6.74516850267537e-05,281.163787841797,99344.390625,282.306976318359,9.52795028686523,5.88879680633545,0.12899999320507002,77.67635,255,1,0.0672459974884987,2.56666666666667
77534,DE,2018-01-01,13.037474000000001,52.393932,72.9140853881836,1533.833984375,1.5895620890660198e-05,-7.497728802263741e-05,280.995269775391,99612.78125,281.743041992188,9.01138210296631,5.813217639923099,0.24549999833107003,35.68286,255,1,0.0375650003552437,2.225
77636,DE,2018-01-01,12.885194,52.608608999999994,70.04837036132811,1524.73742675781,9.29115685721627e-06,-6.35347896604799e-05,281.024444580078,99680.96875,281.67218017578097,8.81636905670166,5.9395256042480495,0.238600000739098,33.38281,253,1,0.028829999268055,2.3
77725,DE,2018-01-01,14.327998000000001,51.756476,71.3650588989258,1404.04736328125,8.75292971613817e-06,-6.73937538522296e-05,281.175079345703,99364.3671875,282.311737060547,9.52743148803711,5.880090236663821,0.114099994301796,79.62182,255,1,0.0686919987201691,2.525
77816,DE,2018-01-01,14.285139000000001,53.064262,68.95554351806639,1371.55700683594,5.93607910559513e-06,-8.253212581621479e-05,280.34063720703097,99519.5,281.526153564453,8.96984577178955,6.619720458984379,0.18299999833107003,10.60342,255,1,0.0633850023150444,1.3
77919,DE,2018-01-01,12.548376,52.409309,70.43125915527341,1536.86962890625,4.62625939690042e-06,-6.29807982477359e-05,281.191772460938,99534.8515625,281.600860595703,8.8995304107666,5.82831621170044,0.16049998998642,41.93359,255,1,0.0446816682815552,1.75
78009,DE,2018-01-01,12.552303,52.420442,70.34512329101561,1536.568359375,4.50448533229064e-06,-6.27801346126944e-05,281.189849853516,99544.0078125,281.602081298828,8.89428806304932,5.8301081657409695,0.173799991607666,49.75138,255,1,0.04509999975562099,1.6
